pitcher_id,pitcher_trackman_id,conf
20700,99445,0.9786967418546366
20938,70425,0.9795918367346939
21095,71118,1.0
21170,71837,1.0
21178,71845,0.9821428571428571
21279,72447,0.985632183908046
21372,72523,0.9756742464304601
21402,73117,0.9716223003515821
21414,73738,0.9807149576669802
21415,73750,0.991869918699187
21432,73801,0.9769180754226268
21441,73211,0.985357025337282
21549,74454,1.0
21558,74359,0.982525814138205
21571,74838,1.0
21587,74731,0.9896907216494846
21588,74748,1.0
21595,74630,1.0
21622,74513,0.9933554817275747
21624,74543,1.0
21654,75342,0.9874213836477987
21690,75867,0.9717971141233056
21699,75138,0.9912718204488778
21733,75250,0.9823943661971831
21754,75258,1.0
21789,76430,0.9786155202821869
21795,76455,0.9997496871088861
21813,76225,0.9931068439192516
21830,76858,0.9668192219679634
21840,76757,0.9652728561304039
21857,76540,1.0
21874,76355,0.9870689655172413
21875,76329,0.9746503496503497
21916,77446,0.9965896589658966
21936,77318,0.991280276816609
21940,77211,0.9830318851389148
21943,77263,0.9797645327446652
21955,77829,0.9984980474617002
21961,77637,0.998681608437706
21978,77591,0.988976377952756
21991,78517,0.9884393063583815
21994,60559,0.9730061349693252
21998,78148,0.9961805555555555
22007,78819,0.994579945799458
22015,78247,0.9951219512195122
22028,78352,0.9789772727272728
22029,78366,1.0
22094,79140,0.968052738336714
22099,79130,0.9631901840490797
22110,79617,0.9959349593495935
22118,79847,0.9835772938236345
22123,79825,0.9842446709916589
22131,79229,0.9963061768930843
22136,79440,1.0
22143,79358,0.9847775175644028
22154,79545,0.9792899408284024
22156,79535,1.0
22163,79764,0.9941139039134584
22180,79293,0.9578059071729957
22192,60841,0.9940857565303105
22201,60339,0.988950276243094
22203,60255,1.0
22205,60336,0.9720183486238532
22220,60634,0.9742268041237113
22231,60768,0.9881944444444445
22233,60757,0.9820143884892086
22234,60845,0.9814814814814815
22249,60263,0.999509743841157
22250,60264,1.0
22253,60140,0.9733075435203095
22254,60146,0.9863929889298892
22261,60181,0.9702176403207331
22277,61101,0.9985181311018131
22278,61145,0.9932851239669421
22280,61156,0.979187314172448
22292,61666,0.9928544565626175
22293,61643,0.9702302939524433
22302,60337,0.9789765965886553
22305,61891,1.0
22309,61456,0.986904761904762
22311,61457,0.9741379310344828
22312,61411,0.9861548143486469
22318,61365,0.9865481076151391
22321,61329,1.0
22332,61700,1.0
22335,61214,0.9929328621908127
22345,61208,1.0
22349,61565,1.0
22368,62146,0.9780769230769231
22380,62754,0.9948877528339631
22389,62363,0.99889339727038
22397,62360,0.9804553697360467
22404,62655,0.9935846030473136
22414,62463,1.0
22419,62528,0.9675259457649816
22427,62242,0.9765241765942537
22428,62263,0.9823008849557522
22435,62869,0.9919408112035936
22458,464400,0.9992630803242447
22469,63145,0.9932121742938471
22473,63138,0.9717223650385605
22478,63103,0.9939649969824985
22487,63111,1.0
22491,75340,0.9792824658918646
22505,63348,0.9819458375125376
22508,63342,0.9711295561169253
22524,63235,1.0
22525,63248,0.9805101748351963
22539,63730,1.0
22540,63765,0.9757281553398058
22541,63749,0.9975932611311673
22547,76650,0.9741424802110817
22548,62648,0.9097744360902256
22551,63619,1.0
22575,63464,0.9871244635193133
22579,62595,0.9629629629629629
22583,78536,0.9798270893371758
22592,76118,0.9700719424460431
22595,62920,0.9983347210657785
22596,62937,0.9793893129770992
22597,62929,0.967479674796748
22598,62951,0.9723196881091618
22615,62966,0.9957446808510638
22617,63959,0.9795146549007249
22621,63960,0.9804028307022319
22622,63914,1.0
22624,63950,0.9835640138408305
22640,64155,1.0
22651,64350,0.9858503401360544
22666,64760,0.9813857290589452
22667,64596,0.969377990430622
22668,64565,0.9898320070733864
22675,64893,0.9772650152697658
22703,548384,0.996844003606853
22708,65764,0.9964953271028038
22710,65707,0.9738143729997091
22717,65343,0.9659290481208289
22720,64001,0.9970501474926253
22721,64017,0.9848661233993015
22722,64041,0.9897959183673469
22729,65048,0.97571189279732
22730,65056,0.9988646040306557
22731,65057,0.9776
22734,65058,0.9805375347544022
22735,61895,0.9641699675909254
22738,63543,0.9666924864446166
22739,64504,1.0
22741,65060,0.9646036017387705
22742,65067,1.0
